name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
DS Oral Clinic Campo Largo,"R. Benedito Soares Pinto, 2260 - Centro, Campo Largo - PR, 83601-040",dsoralclinic.com.br,(41) 99640-7144,,5.0,-25.4623374,-49.5681879
Dra. Karine A. Percicotte Ortodontista Invisalign Doctor - Dentista em Campo Largo,"Av. Padre Natal Pigato, 260 - Vila Bancaria, Campo Largo - PR, 83601-630",,(41) 3392-1203,,5.0,-25.4623374,-49.5681879
Oral Unic Implantes Campo Largo,"R. Dom Pedro II, 1357 - Centro, Campo Largo - PR, 83601-160",lp.oraluniccampolargo.com.br,(41) 99156-0999,,4.8,-25.4623374,-49.5681879
Dentista em Campo Largo - GLOBAL ODONTO,"R. Xavier da Silva, 1202 - Centro, Campo Largo - PR, 83601-010",,(41) 99720-7369,,5.0,-25.4623374,-49.5681879
Implantes Dentários | Aparelhos | Dentista | Odonto Select Odontologia | Campo Largo - PR,"R. Oswaldo Cruz, 360 - Centro, Campo Largo - PR, 83601-150",odontoselectcampolargo.com.br,(41) 99227-8957,,4.9,-25.4623374,-49.5681879
Odonto Solutions - Dra. Cinthia Lima Ricci,"R. Sete de Setembro, 1305 - Centro, Campo Largo - PR, 83601-170",linktr.ee,(41) 3140-1246,,5.0,-25.4623374,-49.5681879
Saniodonto Clínica Odontológica,"R. Gonçalves Dias, 1033 - 1º andar - Centro, Campo Largo - PR, 83601-130",,(41) 98502-6379,,4.8,-25.4623374,-49.5681879
San Diego Clínica Odontológica e Saúde,"R. Teodoro Augustyn, 368 - Sala 2 - Itaqui, Campo Largo - PR, 83604-225",odontosandiego.com.br,(41) 3032-3695,,5.0,-25.472064,-49.6060045
"Yoshi Odontologia - Clínica Odontológica, Dentista em Campo Largo, Invisalign, Implantes dentários","R. xv de Novembro, 1899 - Centro, Campo Largo - PR, 83601-030",yoshiodontologia.com.br,(41) 3292-4335,,5.0,-25.460496,-49.5624104
Doutor do Povo Clínicas Odontológicas - Campo Largo,"R. Rui Barbosa, 1198 A - Centro, Campo Largo - PR, 83601-140",doutordopovoclinicas.com.br,(41) 3140-1212,,4.1,-25.460496,-49.5624104
Redeorto Campo Largo | Odontologia | Implantes Dentários | Aparelho Ortodôntico | Alinhadores invisíveis,"R. Mal. Deodoro, 888 - Centro, Campo Largo - PR, 83601-020",,(41) 3292-6547,,4.3,-25.460496,-49.5624104
Prodont Odontologia | Ortodontia & Implantes | Dra. Suelem Fabianski | Campo Largo,"Tv. Iguaçu, 42 - Centro, Campo Largo - PR, 83601-125",prodontcl.com.br,(41) 3393-5043,,4.7,-25.460496,-49.5624104
AmorSaúde Campo Largo,"Rua: Rocha Pombo, 1055 - Centro, Campo Largo - PR, 83601-350",amorsaude.com.br,(41) 3405-4090,,4.7,-25.460496,-49.5624104
Clínica Odontológica Munaretto,"R. Dom Pedro II, 1405 - Centro, Campo Largo - PR, 83601-160",instagram.com,(41) 3292-1923,,4.8,-25.460496,-49.5624104
AG Dental Clinic,"R. Barão do Rio Branco, 1374 - Sala 07 - Centro, Campo Largo - PR, 83601-180",,(41) 3434-2234,,5.0,-25.460496,-49.5624104
Meu Sorriso Clínica Odontológica,"R. xv de Novembro, 2295 - 2º Andar - Centro, Campo Largo - PR, 83601-030",meusorrisoclinica.com,(41) 3392-9000,,5.0,-25.460496,-49.5624104
