name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Odonto Solutions - Dra. Cinthia Lima Ricci,"R. Sete de Setembro, 1305 - Centro, Campo Largo - PR, 83601-170",linktr.ee,(41) 3140-1246,,5.0,-25.461133,-50.1041822
Dra. Karine A. Percicotte Ortodontista Invisalign Doctor - Dentista em Campo Largo,"Av. Padre Natal Pigato, 260 - Vila Bancaria, Campo Largo - PR, 83601-630",,(41) 3392-1203,,5.0,-25.461133,-50.1041822
Implantes Dentários | Aparelhos | Dentista | Odonto Select Odontologia | Campo Largo - PR,"R. Oswaldo Cruz, 360 - Centro, Campo Largo - PR, 83601-150",odontoselectcampolargo.com.br,(41) 99227-8957,,4.9,-25.461133,-50.1041822
Dentista em Campo Largo - GLOBAL ODONTO,"R. Xavier da Silva, 1202 - Centro, Campo Largo - PR, 83601-010",,(41) 99720-7369,,5.0,-25.461133,-50.1041822
DS Oral Clinic Campo Largo,"R. Benedito Soares Pinto, 2260 - Centro, Campo Largo - PR, 83601-040",dsoralclinic.com.br,(41) 99640-7144,,5.0,-25.461133,-50.1041822
Oral Unic Implantes Campo Largo,"R. Dom Pedro II, 1357 - Centro, Campo Largo - PR, 83601-160",lp.oraluniccampolargo.com.br,(41) 99156-0999,,4.8,-25.461133,-50.1041822
Prodont Odontologia | Ortodontia & Implantes | Dra. Suelem Fabianski | Campo Largo,"Tv. Iguaçu, 42 - Centro, Campo Largo - PR, 83601-125",prodontcl.com.br,(41) 3393-5043,,4.7,-25.461133,-50.1041822
Redeorto Campo Largo | Odontologia | Implantes Dentários | Aparelho Ortodôntico | Alinhadores invisíveis,"R. Mal. Deodoro, 888 - Centro, Campo Largo - PR, 83601-020",,(41) 3292-6547,,4.3,-25.461133,-50.1041822
Doutor do Povo Clínicas Odontológicas - Campo Largo,"R. Rui Barbosa, 1198 A - Centro, Campo Largo - PR, 83601-140",doutordopovoclinicas.com.br,(41) 3140-1212,,4.1,-25.461133,-50.1041822
Vitalle Odontologia,"Vitalle Odontologia - R. Domingos Cordeiro, 1100 - Centro, Campo Largo - PR, 83601-120",,(41) 3150-3436,,5.0,-25.461133,-50.1041822
Ortodontia Campo Largo Ideal Clin odontologia,"Novo What - Rua Engenheiro Tourinho, 91533224, 1099 - s 41 - Centro, Campo Largo - PR, 83607-140",idealclinodontologia.com.br,(41) 3292-3000,,4.6,-25.461133,-50.1041822
"Yoshi Odontologia - Clínica Odontológica, Dentista em Campo Largo, Invisalign, Implantes dentários","R. xv de Novembro, 1899 - Centro, Campo Largo - PR, 83601-030",yoshiodontologia.com.br,(41) 3292-4335,,5.0,-25.461133,-50.1041822
Saniodonto Clínica Odontológica,"R. Gonçalves Dias, 1033 - 1º andar - Centro, Campo Largo - PR, 83601-130",,(41) 98502-6379,,4.8,-25.461133,-50.1041822
Reali Clínica Avançada,"R. Des. Clotário Portugal, n° 810 - Centro, Campo Largo - PR, 83601-320",realiodontologia.com.br,(41) 99116-0320,,4.9,-25.461133,-50.1041822
Odontologia Dra. Haline Penkal,"R. Mato Grosso, 8190 - 02 - Ferraria, Campo Largo - PR, 83609-800",,(41) 3649-3414,,5.0,-25.461133,-50.1041822
Meu Sorriso Clínica Odontológica,"R. xv de Novembro, 2295 - 2º Andar - Centro, Campo Largo - PR, 83601-030",meusorrisoclinica.com,(41) 3392-9000,,5.0,-25.461133,-50.1041822
Clínica Ortofix - Odontologia Especializada,"Av. Des. Clotário Portugal, 899 - sala 05 - Centro, Campo Largo - PR, 83601-320",instagram.com,(41) 3032-1006,,4.9,-25.461133,-50.1041822
BZ Clinic,"R. Gonçalves Dias, 1189 - loja 07 - Centro, Campo Largo - PR, 83601-130",instagram.com,(41) 99610-1793,,4.5,-25.461133,-50.1041822
AG Dental Clinic,"R. Barão do Rio Branco, 1374 - Sala 07 - Centro, Campo Largo - PR, 83601-180",,(41) 3434-2234,,5.0,-25.461133,-50.1041822
Clínica Odontológica Munaretto,"R. Dom Pedro II, 1405 - Centro, Campo Largo - PR, 83601-160",instagram.com,(41) 3292-1923,,4.8,-25.461133,-50.1041822
Lanzarini Odontologia,"R. Eng. Tourinho, 1292 - Centro, Campo Largo - PR, 83607-140",odontologialanzarini.com.br,(41) 99619-9946,,5.0,-25.461133,-50.1041822
Clínica Gionedis,"R. Prof. João Batista Vallões, 1070 - Centro, Campo Largo - PR, 83601-110",clinicagionedis.com.br,(41) 99882-0243,,4.6,-25.461133,-50.1041822
Dra Dariele Ferreira - Odontopediatria Campo Largo,"R. Monsenhor Aluísio Domanski, 143 - Centro, Campo Largo - PR, 83601-200",,(41) 99599-3354,,5.0,-25.461133,-50.1041822
"Olicshevis Odontologia - Dentista, emergência 24h","Av. Antônio Munari, 285 - Bom Jesus, Campo Largo - PR, 83601-420",linktr.ee,(41) 98413-7572,,4.9,-25.461133,-50.1041822
OrthoDontic,"R. Oswaldo Cruz, 1260 - Sobreloja - Centro, Campo Largo - PR, 83601-150",orthodonticbrasil.com.br,(41) 3012-4004,,4.9,-25.461133,-50.1041822
Odonto Salles,"Av. Des. Clotário Portugal, 588 - Centro, Campo Largo - PR, 83601-320",,(41) 3392-7310,,4.6,-25.461133,-50.1041822
Consultório Odontológico Dra. Andressa Netzel,"R. Prof. João Batista Vallões, 2175 - Jardim Sao Vicente, Campo Largo - PR, 83602-210",,(41) 99512-5930,,5.0,-25.461133,-50.1041822
San Diego Clínica Odontológica e Saúde,"R. Teodoro Augustyn, 368 - Sala 2 - Itaqui, Campo Largo - PR, 83604-225",odontosandiego.com.br,(41) 3032-3695,,5.0,-25.461133,-50.1041822
Propst Odontologia - Odontologia,"R. xv de Novembro, 2927 - sobreloja 03 - Centro, Campo Largo - PR, 83601-030",dentistacampolargo.com,(41) 3032-7375,,3.6,-25.461133,-50.1041822
