name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Odonto Solutions - Dra. Cinthia Lima Ricci,"R. Sete de Setembro, 1305 - Centro, Campo Largo - PR, 83601-170",linktr.ee,(41) 3140-1246,,5.0,-25.4573865,-49.5327168
Oral Unic Implantes Campo Largo,"R. Dom Pedro II, 1357 - Centro, Campo Largo - PR, 83601-160",lp.oraluniccampolargo.com.br,(41) 99156-0999,,4.8,-25.461504,-49.5373924
Dra. Karine A. Percicotte Ortodontista Invisalign Doctor - Dentista em Campo Largo,"Av. Padre Natal Pigato, 260 - Vila Bancaria, Campo Largo - PR, 83601-630",,(41) 3392-1203,,5.0,-25.4597725,-49.5311844
DS Oral Clinic Campo Largo,"R. Benedito Soares Pinto, 2260 - Centro, Campo Largo - PR, 83601-040",dsoralclinic.com.br,(41) 99640-7144,,5.0,-25.46012,-49.5401962
Dentista em Campo Largo - GLOBAL ODONTO,"R. Xavier da Silva, 1202 - Centro, Campo Largo - PR, 83601-010",,(41) 99720-7369,,5.0,-25.46012,-49.5401962
Implantes Dentários | Aparelhos | Dentista | Odonto Select Odontologia | Campo Largo - PR,"R. Oswaldo Cruz, 360 - Centro, Campo Largo - PR, 83601-150",odontoselectcampolargo.com.br,(41) 99227-8957,,4.9,-25.4526136,-49.5344049
Prodont Odontologia | Ortodontia & Implantes | Dra. Suelem Fabianski | Campo Largo,"Tv. Iguaçu, 42 - Centro, Campo Largo - PR, 83601-125",prodontcl.com.br,(41) 3393-5043,,4.7,-25.455996,-49.539367
Redeorto Campo Largo | Odontologia | Implantes Dentários | Aparelho Ortodôntico | Alinhadores invisíveis,"R. Mal. Deodoro, 888 - Centro, Campo Largo - PR, 83601-020",,(41) 3292-6547,,4.3,-25.455996,-49.539367
Ortodontia Campo Largo Ideal Clin odontologia,"Novo What - Rua Engenheiro Tourinho, 91533224, 1099 - s 41 - Centro, Campo Largo - PR, 83607-140",idealclinodontologia.com.br,(41) 3292-3000,,4.6,-25.4587883,-49.5335419
Vitalle Odontologia,"Vitalle Odontologia - R. Domingos Cordeiro, 1100 - Centro, Campo Largo - PR, 83601-120",,(41) 3150-3436,,5.0,-25.4579533,-49.5406767
BZ Clinic,"R. Gonçalves Dias, 1189 - loja 07 - Centro, Campo Largo - PR, 83601-130",instagram.com,(41) 99610-1793,,4.5,-25.4579533,-49.5406767
Saniodonto Clínica Odontológica,"R. Gonçalves Dias, 1033 - 1º andar - Centro, Campo Largo - PR, 83601-130",,(41) 98502-6379,,4.8,-25.4579533,-49.5406767
Reali Clínica Avançada,"R. Des. Clotário Portugal, n° 810 - Centro, Campo Largo - PR, 83601-320",realiodontologia.com.br,(41) 99116-0320,,4.9,-25.4572826,-49.5346283
Conceitto Odontologia,"R. xv de Novembro, 2381 - Centro, Campo Largo - PR, 83601-030",instagram.com,(41) 3292-5821,,4.5,-25.4586425,-49.5399433
Clínica Ortofix - Odontologia Especializada,"Av. Des. Clotário Portugal, 899 - sala 05 - Centro, Campo Largo - PR, 83601-320",instagram.com,(41) 3032-1006,,4.9,-25.457803,-49.5346652
AG Dental Clinic,"R. Barão do Rio Branco, 1374 - Sala 07 - Centro, Campo Largo - PR, 83601-180",,(41) 3434-2234,,5.0,-25.457803,-49.5346652
Clínica Odontológica Munaretto,"R. Dom Pedro II, 1405 - Centro, Campo Largo - PR, 83601-160",instagram.com,(41) 3292-1923,,4.8,-25.457803,-49.5346652
Lanzarini Odontologia,"R. Eng. Tourinho, 1292 - Centro, Campo Largo - PR, 83607-140",odontologialanzarini.com.br,(41) 99619-9946,,5.0,-25.457803,-49.5346652
Meu Sorriso Clínica Odontológica,"R. xv de Novembro, 2295 - 2º Andar - Centro, Campo Largo - PR, 83601-030",meusorrisoclinica.com,(41) 3392-9000,,5.0,-25.4591428,-49.539184
Clínica Gionedis,"R. Prof. João Batista Vallões, 1070 - Centro, Campo Largo - PR, 83601-110",clinicagionedis.com.br,(41) 99882-0243,,4.6,-25.4591428,-49.539184
