name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Ponto Track - Rastreamento e Logística Curitiba,"R. Carlos Klemtz, 81 - Fazendinha, Curitiba - PR, 81320-000",pontotrack.com.br,(41) 3121-3512,,4.4,-25.4777976,-49.3839227
Alien Rastreamento Veicular,"Rua Abílio Holzmann, 100 - Novo Mundo, Curitiba - PR, 81050-070",alienrastreamento.com.br,(41) 3500-7566,,5.0,-25.4777976,-49.3839227
BOLTECH RASTREADORES | Rastreador Veicular em Curitiba,"R. Carlos de Laet, 1221 - Hauer, Curitiba - PR, 81610-050",boltech.com.br,(41) 3087-8530,,5.0,-25.4743621,-49.3187941
SS Rastreadores,"Rua Reinaldo Stocco, 546 - Pinheirinho, Curitiba - PR, 81720-140",ssrastreadores.com.br,(41) 3016-1597,,5.0,-25.5174862,-49.3580272
Master Gps Rastreamento Veicular sem mensalidade,"R. Quitandinha, 630 - Sítio Cercado, Curitiba - PR, 81900-050",,(41) 99258-2034,,5.0,-25.5174862,-49.3580272
Carrosat,"Av. Pres. Getúlio Vargas, 3738 - Rebouças, Curitiba - PR, 80240-041",carrosat.com.br,(41) 99225-4888,,4.8,-25.4532997,-49.3667512
Totalsat - tecnologia em rastreamento de veículos,"Rua Valentin Nichele, 450 - Pinheirinho, Curitiba - PR, 81150-310",,(41) 2109-7709,,4.8,-25.5247794,-49.3704174
Rastreador Localizador Satelo,"br 116 n.o 16148, Curitiba - PR, 81690-300",satelo.com.br,(41) 99205-1897,,5.0,-25.5247794,-49.3704174
Sattrack Rastreamento e Logística,"Av. Com. Franco, 5355 - Jardim das Américas, Curitiba - PR, 81560-000",sattrack.com.br,(41) 3501-5580,,4.8,-25.477245,-49.2971578
G&B Log,"Rua José Clementino Bettega, 120 - 41 B - Capão Raso, Curitiba - PR, 81130-020",gblograstreamento.com.br,,,5.0,-25.4992233,-49.3689355
Nipponsat,"Rua Dr. Reynaldo Machado, 1063 - Prado Velho, Curitiba - PR, 80215-242",nps-solutions.com.br,(41) 3332-1317,,4.3,-25.4511607,-49.3282569
CalSat Rastreadores,"R. Ana Berta Roskamp, 1285 - Jardim das Américas, Curitiba - PR, 81530-250",calsat.com.br,(41) 3039-1997,,4.6,-25.4511607,-49.3282569
Futurotrack Rastreamento,"R. Maestro Francisco Antonello, 1944 - Fanny, Curitiba - PR, 81030-100",futurotrack.com.br,(41) 4141-2205,,3.0,-25.4511607,-49.3282569
