name,address,website,phone_number,reviews_count,reviews_average,latitude,longitude
Logos Soluções Tecnológicas,"R. Estados Unidos, 1680 - Boa Vista, Curitiba - PR, 82540-030",logosrastreamento.com.br,,,4.3,-25.399353,-49.8248622
LOCAL GPS RASTREAMENTO E TELEMETRIA,"R. Des. Westphalen, 2769 SOBRELOJA - Rebouças, Curitiba - PR, 80220-030",localgps.com.br,(41) 2105-7333,,4.7,-25.399353,-49.8248622
Amplasat Curitiba - Rastreamento e Telemetria para Gestão de Frotas,"R. Francisco Derosso, 3241 - Xaxim, Curitiba - PR, 81720-000",amplasat.com.br,(41) 99236-3431,,5.0,-25.399353,-49.8248622
CalSat Rastreadores,"R. Ana Berta Roskamp, 1285 - Jardim das Américas, Curitiba - PR, 81530-250",calsat.com.br,(41) 3039-1997,,4.6,-25.399353,-49.8248622
BOLTECH RASTREADORES | Rastreador Veicular em Curitiba,"R. Carlos de Laet, 1221 - Hauer, Curitiba - PR, 81610-050",boltech.com.br,(41) 3087-8530,,5.0,-25.399353,-49.8248622
GET SAT - Rastreamento Veicular,"Av. Anita Garibaldi, 2330 - São Lourenço, Curitiba - PR, 82200-540",satget.com.br,(41) 99876-0619,,5.0,-25.399353,-49.8248622
ADDLOG,"Av. Cândido de Abreu, 660 - Centro Cívico, Curitiba - PR, 80530-000",addlog.com.br,(41) 3117-9799,,5.0,-25.399353,-49.8248622
Telemachine Telemática Ltda,"Av. Rep. Argentina, 452 - Água Verde, Curitiba - PR, 80240-240",telemachine.com.br,(41) 3095-0970,,4.6,-25.399353,-49.8248622
Rastronick Rastreamento Veicular,"R. XV de Novembro, N°:964 - Andar 3 - Centro, Curitiba - PR, 80060-000",rastronickrastreamento.com.br,(41) 99156-6380,,4.9,-25.399353,-49.8248622
BLOQUEIOSAT,"Av. Anita Garibaldi, 1450 - Cabral, Curitiba - PR, 82200-700",bloqueiosat.com.br,(41) 3019-0234,,3.5,-25.399353,-49.8248622
Nipponsat,"Rua Dr. Reynaldo Machado, 1063 - Prado Velho, Curitiba - PR, 80215-242",nps-solutions.com.br,(41) 3332-1317,,4.3,-25.399353,-49.8248622
Logos Soluções Tecnológicas,"R. Estados Unidos, 1680 - Boa Vista, Curitiba - PR, 82540-030",logosrastreamento.com.br,,,4.3,-25.399353,-49.8248622
TSM Tecnologia,"R. Ubaldino do Amaral, 374 - Alto da Glória, Curitiba - PR, 80060-195",tsmmonitoramento.com.br,(41) 3354-1282,,4.1,-25.399353,-49.8248622
Mobi7 - Soluções para Mobilidade,"R. Comendador Araújo, 143 - Centro, Curitiba - PR, 80420-900",mobi7.com.br,0800 787 1010,,4.8,-25.399353,-49.8248622
CEABS Serviços,"Av. João Gualberto, 1000 - Alto da Glória, Curitiba - PR, 80030-000",ceabs.com.br,(41) 3004-7707,,3.8,-25.399353,-49.8248622
LaraSat Rastreamento Veicular,"R. Guarandi, 12 - São Braz, Curitiba - PR, 82015-610",larasat.com.br,,,,-25.399353,-49.8248622
